Type,Level,Gem color,PV,Price,Illustration,(w)hite,bl(u)e,(g)reen,(r)ed,blac(k)
,,,,,,,,,,
Dev,1,black,0,1w+1u+1g+1r,mine (black),1,1,1,1,0
Dev,1,black,0,1w+2u+1g+1r,mine (black),1,2,1,1,0
Dev,1,black,0,2w+2u+1r,mine (black),2,2,0,1,0
Dev,1,black,0,1g+3r+1k,mine (black),0,0,1,3,1
Dev,1,black,0,2g+1r,mine (black),0,0,2,1,0
Dev,1,black,0,2w+2g,mine (black),2,0,2,0,0
Dev,1,black,0,3g,mine (black),0,0,3,0,0
Dev,1,black,1,4u,mine (black),0,4,0,0,0
Dev,1,blue,0,1w+1g+1r+1k,mine (blue),1,0,1,1,1
Dev,1,blue,0,1w+1g+2r+1k,mine (blue),1,0,1,2,1
Dev,1,blue,0,1w+2g+2r,mine (blue),1,0,2,2,0
Dev,1,blue,0,1u+3g+1r,mine (blue),0,1,3,1,0
Dev,1,blue,0,1w+2k,mine (blue),1,0,0,0,2
Dev,1,blue,0,2g+2k,mine (blue),0,0,2,0,2
Dev,1,blue,0,3k,mine (blue),0,0,0,0,3
Dev,1,blue,1,4r,mine (blue),0,0,0,4,0
Dev,1,white,0,1u+1g+1r+1k,mine (white),0,1,1,1,1
Dev,1,white,0,1u+2g+1r+1k,mine (white),0,1,2,1,1
Dev,1,white,0,2u+2g+1k,mine (white),0,2,2,0,1
Dev,1,white,0,3w+1u+1k,mine (white),3,1,0,0,1
Dev,1,white,0,2r+1k,mine (white),0,0,0,2,1
Dev,1,white,0,2u+2k,mine (white),0,2,0,0,2
Dev,1,white,0,3u,mine (white),0,3,0,0,0
Dev,1,white,1,4g,mine (white),0,0,4,0,0
Dev,1,green,0,1w+1u+1r+1k,mine (green),1,1,0,1,1
Dev,1,green,0,1w+1u+1r+2k,mine (green),1,1,0,1,2
Dev,1,green,0,1u+2r+2k,mine (green),0,1,0,2,2
Dev,1,green,0,1w+3u+1g,mine (green),1,3,1,0,0
Dev,1,green,0,2w+1u,mine (green),2,1,0,0,0
Dev,1,green,0,2u+2r,mine (green),0,2,0,2,0
Dev,1,green,0,3r,mine (green),0,0,0,3,0
Dev,1,green,1,4k,mine (green),0,0,0,0,4
Dev,1,red,0,1w+1u+1g+1k,mine (red),1,1,1,0,1
Dev,1,red,0,2w+1u+1g+1k,mine (red),2,1,1,0,1
Dev,1,red,0,2w+1g+2k,mine (red),2,0,1,0,2
Dev,1,red,0,1w+1r+3k,mine (red),1,0,0,1,3
Dev,1,red,0,2u+1g,mine (red),0,2,1,0,0
Dev,1,red,0,2w+2r,mine (red),2,0,0,2,0
Dev,1,red,0,3w,mine (red),3,0,0,0,0
Dev,1,red,1,4w,mine (red),4,0,0,0,0
Dev,2,black,1,3w+2u+2g,camels,3,2,2,0,0
Dev,2,black,1,3w+3g+2k,camels,3,0,3,0,2
Dev,2,black,2,1u+4g+2r,camels,0,1,4,2,0
Dev,2,black,2,5g+3r,lapidary (black),0,0,5,3,0
Dev,2,black,2,5w,lapidary (black),5,0,0,0,0
Dev,2,black,3,6k,lapidary (black),0,0,0,0,6
Dev,2,blue,1,2u+2g+3r,elephants,0,2,2,3,0
Dev,2,blue,1,2u+3g+3k,elephants,0,2,3,0,3
Dev,2,blue,2,5w+3u,elephants,5,3,0,0,0
Dev,2,blue,2,2w+1r+4k,lapidary (blue),2,0,0,1,4
Dev,2,blue,2,5u,lapidary (blue),0,5,0,0,0
Dev,2,blue,3,6u,lapidary (blue),0,6,0,0,0
Dev,2,white,1,3g+2r+2k,people in snow,0,0,3,2,2
Dev,2,white,1,2w+3u+3r,people in snow,2,3,0,3,0
Dev,2,white,2,1g+4r+2k,people in snow,0,0,1,4,2
Dev,2,white,2,5r+3k,lapidary (white),0,0,0,5,3
Dev,2,white,2,5r,lapidary (white),0,0,0,5,0
Dev,2,white,3,6w,lapidary (white),6,0,0,0,0
Dev,2,green,1,3w+2g+3r,guy (green),3,0,2,3,0
Dev,2,green,1,2w+3u+2k,guy (green),2,3,0,0,2
Dev,2,green,2,4w+2u+1k,guy (green),4,2,0,0,1
Dev,2,green,2,5u+3g,carrack,0,5,3,0,0
Dev,2,green,2,5g,carrack,0,0,5,0,0
Dev,2,green,3,6g,carrack,0,0,6,0,0
Dev,2,red,1,2w+2r+3k,felucca,2,0,0,2,3
Dev,2,red,1,3u+2r+3k,felucca,0,3,0,2,3
Dev,2,red,2,1w+4u+2g,felucca,1,4,2,0,0
Dev,2,red,2,3w+5k,lapidary (red),3,0,0,0,5
Dev,2,red,2,5k,lapidary (red),0,0,0,0,5
Dev,2,red,3,6r,lapidary (red),0,0,0,6,0
Dev,3,black,3,3w+3u+5g+3r,street1,3,3,5,3,0
Dev,3,black,4,7r,street2,0,0,0,7,0
Dev,3,black,4,3g+6r+3k,street2,0,0,3,6,3
Dev,3,black,5,7r+3k,street1,0,0,0,7,3
Dev,3,blue,3,3w+3g+3r+5k,Venice,3,0,3,3,5
Dev,3,blue,4,7w,Venice,7,0,0,0,0
Dev,3,blue,4,6w+3u+3k,diamant shop,6,3,0,0,3
Dev,3,blue,5,7w+3u,diamant shop,7,3,0,0,0
Dev,3,white,3,3u+3g+5r+3k,building (white),0,3,3,5,3
Dev,3,white,4,7k,"""Gioielleria""",0,0,0,0,7
Dev,3,white,4,3w+3r+6k,"""Gioielleria""",3,0,0,3,6
Dev,3,white,5,3w+7k,building (white),3,0,0,0,7
Dev,3,green,3,5w+3u+3r+3k,timbered house,5,3,0,3,3
Dev,3,green,4,7u,bridge,0,7,0,0,0
Dev,3,green,4,3w+6u+3g,bridge,3,6,3,0,0
Dev,3,green,5,7u+3g,timbered house,0,7,3,0,0
Dev,3,red,3,3w+5u+3g+3k,equestrian statue,3,5,3,0,3
Dev,3,red,4,7g,equestrian statue,0,0,7,0,0
Dev,3,red,4,3u+6g+3r,building (red),0,3,6,3,0
Dev,3,red,5,7g+3r,building (red),0,0,7,3,0
Nob,0,null,3,3g+3u+3r,catherine,0,3,3,3,0
Nob,0,null,3,3k+3u+3w,elisabeth,3,3,0,0,3
Nob,0,null,3,4k+4w,isabella,4,0,0,0,4
Nob,0,null,3,4u+4w,niccolo,4,4,0,0,0
Nob,0,null,3,4u+4g,suleiman,0,4,4,0,0
Nob,0,null,3,3g+3u+3w,anne,3,3,3,0,0
Nob,0,null,3,3k+3r+3w,charles,3,0,0,3,3
Nob,0,null,3,3k+3r+3g,francis,0,0,3,3,3
Nob,0,null,3,4k+4r,henry,0,0,0,4,4
Nob,0,null,3,4k+4g,mary,0,0,4,4,0
